state,district,sex,age,id,hhid,psid,female,medwork,rural,hhweight,stateName
32,5,1,32,Q1V173337130203,733371302,73337130203,0,1,0,0.71055478,Kerala
18,8,1,15,Q4V152752120303,527521203,52752120303,0,0,1,0.49718589,Assam
29,12,1,28,Q3V154919120102,549191201,54919120102,0,1,1,0.8362565,Karnataka
12,12,1,15,Q1V156195110204,561951102,56195110204,0,0,1,0.11347677,Arunachal Pradesh
19,2,1,65,Q2V173640130104,736401301,73640130104,0,1,0,1.990971,West Bengal
27,22,1,31,Q2V174334110203,743341102,74334110203,0,1,0,1.7480173,Maharashtra
1,15,2,15,Q1V151657120104,516571201,51657120104,1,0,1,0.10263649,Jammu & Kashmir
19,13,1,43,Q2V152669230101,526692301,52669230101,0,1,1,4.8781881,West Bengal
33,1,1,61,Q3V153730130201,537301302,53730130201,0,1,1,2.0698507,Tamil Nadu
10,6,1,50,Q4V154027110101,540271101,54027110101,0,1,1,0.24044384,Bihar
32,14,1,28,Q2V173959130103,739591301,73959130103,0,1,0,1.1791623,Kerala
9,12,1,52,Q4V156698110101,566981101,56698110101,0,1,1,1.8329463,Uttar Pradesh
8,24,2,27,Q4V152046110202,520461102,52046110202,1,1,1,0.36751404,Rajasthan
18,6,2,23,Q3V157399210103,573992101,57399210103,1,0,1,1.8400381,Assam
8,30,2,19,Q3V175070130104,750701301,75070130104,1,0,0,0.57100695,Rajasthan
1,10,1,56,Q2V173187110101,731871101,73187110101,0,1,0,0.18592885,Jammu & Kashmir
21,23,1,28,Q1V151251120204,512511202,51251120204,0,1,1,0.56621015,Odisha
9,7,2,16,Q2V157175210105,571752101,57175210105,1,0,1,2.5531168,Uttar Pradesh
15,5,2,38,Q4V177922140103,779221401,77922140103,1,1,0,0.054275371,Mizoram
18,2,2,18,Q1V154414120102,544141201,54414120102,1,0,1,0.034277454,Assam
12,4,1,23,Q4V179474110103,794741101,79474110103,0,0,0,0.042173371,Arunachal Pradesh
16,2,2,21,Q3V157002130104,570021301,57002130104,1,1,1,0.063626274,Tripura
32,5,1,18,Q1V174307120204,743071202,74307120204,0,0,0,0.20224527,Kerala
10,5,2,50,Q1V157983110102,579831101,57983110102,1,0,1,0.23427589,Bihar
20,12,1,40,Q1V171571110101,715711101,71571110101,0,1,0,0.47360286,Jharkhand
27,21,1,23,Q1V175403130103,754031301,75403130103,0,0,0,0.6953032,Maharashtra
8,20,2,16,Q2V158757110106,587571101,58757110106,1,0,1,0.32879141,Rajasthan
1,10,2,59,Q1V171145110102,711451101,71145110102,1,0,0,0.031031987,Jammu & Kashmir
33,16,1,51,Q4V154002120401,540021204,54002120401,0,1,1,0.65556991,Tamil Nadu
10,13,2,46,Q3V153507210102,535072101,53507210102,1,0,1,5.2744484,Bihar
13,9,1,22,Q2V170096130203,700961302,70096130203,0,0,0,0.10359815,Nagaland
16,1,1,33,Q2V179013110205,790131102,79013110205,0,1,0,0.13853407,Tripura
5,5,1,28,Q1V157997120201,579971202,57997120201,0,1,1,0.083626799,Uttrakhand
23,41,2,35,Q1V172788120202,727881202,72788120202,1,0,0,0.45366848,Madhya Pradesh
10,11,1,16,Q1V157379110103,573791101,57379110103,0,0,1,0.043443948,Bihar
29,18,2,20,Q3V171474130201,714741302,71474130201,1,0,0,0.80137891,Karnataka
16,1,2,47,Q1V175930120102,759301201,75930120102,1,0,0,0.14099187,Tripura
8,23,2,24,Q4V179275110204,792751102,79275110204,1,0,0,0.18076786,Rajasthan
34,2,1,26,Q3V179436110103,794361101,79436110103,0,1,0,0.1684304,Puducherry
3,3,1,56,Q1V177803110202,778031102,77803110202,0,1,0,0.26127994,Punjab
22,27,1,47,Q1V151983220201,519832202,51983220201,0,1,1,0.49682328,Chhattisgarh
21,14,2,14,Q3V151910120104,519101201,51910120104,1,0,1,0.18784694,Odisha
9,1,1,29,Q3V175252130102,752521301,75252130102,0,1,0,0.13073817,Uttar Pradesh
21,24,2,55,Q2V175431110102,754311101,75431110102,1,0,0,0.61421859,Odisha
10,20,1,26,Q1V159476110101,594761101,59476110101,0,1,1,0.10878516,Bihar
27,22,1,56,Q1V172639110202,726391102,72639110202,0,0,0,0.51446497,Maharashtra
8,13,1,65,Q3V159791130101,597911301,59791130101,0,1,1,0.9616847,Rajasthan
28,3,1,25,Q3V156673130101,566731301,56673130101,0,1,1,4.2875009,Andhra Pradesh
9,44,1,25,Q1V150231120301,502311203,50231120301,0,1,1,0.51180243,Uttar Pradesh
28,11,1,55,Q2V154693220201,546932202,54693220201,0,1,1,1.9136746,Andhra Pradesh
12,14,1,21,Q2V172130110203,721301102,72130110203,0,0,0,0.016058555,Arunachal Pradesh
1,1,1,32,Q1V156019120201,560191202,56019120201,0,1,1,0.035002604,Jammu & Kashmir
12,2,1,45,Q2V151182120101,511821201,51182120101,0,1,1,0.05227391,Arunachal Pradesh
22,15,2,25,Q1V159600120202,596001202,59600120202,1,0,1,0.12675036,Chhattisgarh
20,3,2,18,Q2V150205120403,502051204,50205120403,1,0,1,0.48647428,Jharkhand
32,13,2,38,Q2V152146120102,521461201,52146120102,1,0,1,0.49737549,Kerala
18,16,2,15,Q4V153959120104,539591201,53959120104,1,0,1,0.41438892,Assam
1,21,2,32,Q3V175555130101,755551301,75555130101,1,0,0,0.12427537,Jammu & Kashmir
27,22,1,47,Q3V179178110201,791781102,79178110201,0,1,0,0.86028492,Maharashtra
27,31,2,54,Q2V171086120101,710861201,71086120101,1,0,0,0.59957594,Maharashtra
19,8,1,40,Q4V157253220201,572532202,57253220201,0,1,1,1.834463,West Bengal
8,29,2,59,Q3V174633140202,746331402,74633140202,1,0,0,0.12037664,Rajasthan
18,11,2,20,Q2V155772110204,557721102,55772110204,1,0,1,0.24087466,Assam
27,22,1,27,Q2V175830120203,758301202,75830120203,0,1,0,0.48175976,Maharashtra
6,20,1,25,Q4V179546130202,795461302,79546130202,0,1,0,0.26239479,Haryana
21,12,2,29,Q2V159422110104,594221101,59422110104,1,0,1,0.58523339,Odisha
1,6,1,45,Q3V152011120201,520111202,52011120201,0,1,1,0.047018129,Jammu & Kashmir
19,14,1,33,Q1V156691120201,566911202,56691120201,0,1,1,0.66839081,West Bengal
6,20,1,16,Q4V174443140104,744431401,74443140104,0,0,0,0.71689987,Haryana
23,32,1,37,Q4V177354130101,773541301,77354130101,0,1,0,0.8882882,Madhya Pradesh
8,25,1,25,Q2V175836130101,758361301,75836130101,0,1,0,0.46596947,Rajasthan
32,11,2,46,Q1V152563130103,525631301,52563130103,1,0,1,0.63936341,Kerala
10,14,2,14,Q1V157618130104,576181301,57618130104,1,0,1,1.7472504,Bihar
9,44,2,18,Q3V157598210106,575982101,57598210106,1,0,1,3.4147763,Uttar Pradesh
7,1,1,22,Q2V172236110203,722361102,72236110203,0,1,0,0.69064754,Delhi
19,4,2,40,Q1V175349120102,753491201,75349120102,1,0,0,0.63317931,West Bengal
27,25,1,55,Q2V179226110101,792261101,79226110101,0,1,0,0.69464731,Maharashtra
23,23,2,60,Q4V157026130202,570261302,57026130202,1,0,1,4.2280974,Madhya Pradesh
3,5,1,65,Q4V151348110101,513481101,51348110101,0,1,1,2.0280757,Punjab
32,5,2,17,Q2V179266130103,792661301,79266130103,1,0,0,0.7260471,Kerala
36,7,1,50,Q3V153536220201,535362202,53536220201,0,0,1,1.1868535,Telangana
1,5,2,44,Q3V154444230102,544442301,54444230102,1,0,1,0.65132159,Jammu & Kashmir
28,12,2,43,Q4V171962120201,719621202,71962120201,1,1,0,0.59710616,Andhra Pradesh
29,12,1,25,Q2V150850210103,508502101,50850210103,0,1,1,5.3409157,Karnataka
14,3,1,62,Q2V151232220202,512322202,51232220202,0,1,1,0.093323089,Manipur
21,11,1,50,Q2V157573120201,575731202,57573120201,0,1,1,0.88308293,Odisha
3,15,1,61,Q3V177299120201,772991202,77299120201,0,1,0,0.44125178,Punjab
2,9,2,29,Q1V159150120403,591501204,59150120403,1,0,1,0.12734945,Himachal Pradesh
9,27,2,25,Q1V156488110204,564881102,56488110204,1,0,1,1.070411,Uttar Pradesh
9,9,1,45,Q2V177737120101,777371201,77737120101,0,1,0,1.7064143,Uttar Pradesh
15,3,1,56,Q4V175721110101,757211101,75721110101,0,1,0,0.044195145,Mizoram
8,30,2,17,Q2V154161110109,541611101,54161110109,1,0,1,0.24169515,Rajasthan
8,22,1,19,Q4V151125120403,511251204,51125120403,0,0,1,0.82864344,Rajasthan
24,3,1,17,Q4V150223110103,502231101,50223110103,0,0,1,0.43847677,Gujarat
9,32,2,28,Q3V155210210102,552102101,55210210102,1,0,1,6.52631,Uttar Pradesh
10,19,1,60,Q4V152091220101,520912201,52091220101,0,1,1,1.7336774,Bihar
14,3,1,21,Q2V151232220205,512322202,51232220205,0,0,1,0.093323089,Manipur
19,11,2,52,Q1V177114110202,771141102,77114110202,1,0,0,0.39154354,West Bengal
10,20,2,18,Q4V179282110108,792821101,79282110108,1,0,0,0.43377578,Bihar
19,1,1,30,Q2V179119110206,791191102,79119110206,0,1,0,0.73343819,West Bengal
33,21,2,26,Q1V177529120202,775291202,77529120202,1,0,0,0.6149953,Tamil Nadu
32,4,2,45,Q3V159522110102,595221101,59522110102,1,0,1,1.0704532,Kerala
29,26,2,39,Q1V153001130102,530011301,53001130102,1,0,1,1.2838717,Karnataka
14,5,1,14,Q3V157787120103,577871201,57787120103,0,0,1,0.012706813,Manipur
1,15,2,19,Q4V151046110107,510461101,51046110107,1,0,1,0.11697854,Jammu & Kashmir
19,18,2,19,Q3V177474110204,774741102,77474110204,1,0,0,0.2997416,West Bengal
8,23,2,20,Q1V155641120102,556411201,55641120102,1,0,1,0.1096791,Rajasthan
20,13,1,17,Q4V152607120203,526071202,52607120203,0,0,1,0.32066837,Jharkhand
24,17,1,24,Q4V154591220102,545912201,54591220102,0,1,1,1.4295036,Gujarat
36,6,1,40,Q4V179277120201,792771202,79277120201,0,1,0,1.3012768,Telangana
18,13,1,35,Q3V170261130101,702611301,70261130101,0,1,0,0.1965847,Assam
18,1,2,28,Q4V155149120102,551491201,55149120102,1,0,1,0.23115857,Assam
12,8,2,39,Q1V157072230102,570722301,57072230102,1,0,1,0.18339238,Arunachal Pradesh
33,26,2,32,Q3V153154120203,531541202,53154120203,1,0,1,0.22411232,Tamil Nadu
34,2,1,30,Q2V173317110103,733171101,73317110103,0,1,0,0.16740832,Puducherry
9,64,1,20,Q4V150253210104,502532101,50253210104,0,0,1,1.0161414,Uttar Pradesh
28,6,1,62,Q1V151399120201,513991202,51399120201,0,0,1,0.019071681,Andhra Pradesh
23,17,2,49,Q3V174343110102,743431101,74343110102,1,0,0,0.97894508,Madhya Pradesh
14,5,2,27,Q2V153122220202,531222202,53122220202,1,0,1,0.099303499,Manipur
31,1,2,18,Q3V175831120206,758311202,75831120206,1,0,0,0.017130131,Lakshadweep
32,2,2,30,Q3V179494130102,794941301,79494130102,1,0,0,0.16524537,Kerala
9,49,1,26,Q3V157938120203,579381202,57938120203,0,1,1,0.27370077,Uttar Pradesh
