"","psid","state","stateName","district","distcode","age","sex","female","rural","medwork","hhsize","comb_wt","mpce","logRsincpc"
"12184",79273130201,"27","Maharashtra","25","2725",26,1,"Male","Urban",0,1,6797.56982421875,8000,8.98719692230225
"12185",56473130104,"08","Rajasthan","32","0832",21,2,"Female","Rural",1,5,51633.69921875,1800,7.49554204940796
"12186",73097140202,"18","Assam","18","1818",19,2,"Female","Urban",0,3,4312.19482421875,2166.66674804688,7.68094539642334
"12187",57253110104,"19","West Bengal","08","1908",16,1,"Male","Rural",0,4,4922.43505859375,2000,7.60090255737305
"12202",57322120102,"08","Rajasthan","10","0810",25,1,"Male","Rural",1,7,1486.52502441406,714.285705566406,6.57128286361694
"12203",72942110105,"01","Jammu & Kashmir","19","0119",22,2,"Female","Urban",0,5,1490.8349609375,6000,8.69951438903809
"12205",72182130205,"27","Maharashtra","32","2732",30,2,"Female","Urban",0,7,7538.31982421875,1142.85717773438,7.04128646850586
"12206",51424110107,"10","Bihar","28","1028",26,2,"Female","Rural",0,7,6983.56005859375,928.571411132812,6.83364725112915
"12210",72763130204,"03","Punjab","11","0311",21,2,"Female","Urban",0,5,756.304992675781,1600,7.37775897979736
"12216",73853110205,"13","Nagaland","05","1305",24,2,"Female","Urban",0,6,703.909973144531,4666.66650390625,8.44820022583008
"12217",75792130203,"33","Tamil Nadu","13","3313",16,1,"Male","Urban",0,4,18286.125,2300,7.7406644821167
"12218",57599130102,"21","Odisha","10","2110",23,2,"Female","Rural",0,2,16176.080078125,1500,7.31322050094604
"12222",59608120405,"15","Mizoram","07","1507",23,1,"Male","Rural",1,6,315.945007324219,833.333312988281,6.72543382644653
"12225",74119120104,"23","Madhya Pradesh","25","2325",24,2,"Female","Urban",0,8,1790.16003417969,1000,6.90775537490845
"12234",73464140107,"12","Arunachal Pradesh","04","1204",18,2,"Female","Urban",0,9,205.550003051758,3030,8.01631832122803
"12237",53355120103,"24","Gujarat","01","2401",16,2,"Female","Rural",0,6,4830.0400390625,1583.33337402344,7.36728763580322
"12241",53144110103,"09","Uttar Pradesh","02","0902",17,1,"Male","Rural",0,7,1646.52001953125,1000,6.90775537490845
"12243",56902110105,"28","Andhra Pradesh","11","2811",21,2,"Female","Rural",0,6,2598.47509765625,1641.66662597656,7.40346717834473
"12253",71257120203,"19","West Bengal","19","1919",25,1,"Male","Urban",1,4,5583.7001953125,1500,7.31322050094604
"12254",77337120102,"06","Haryana","18","0618",29,1,"Male","Urban",1,4,4877.53515625,1875,7.53636407852173
"12257",59635210106,"02","Himachal Pradesh","10","0210",27,2,"Female","Rural",1,11,12031.8349609375,1427.27270507812,7.26352071762085
